Artist,Title,Level,Color,Instrument,Style,Season,CardNo,Release,Playlist,Icon,Source,BPM,Key,Illustrator,Notes,ArtHash,CardHash
FX,Third Wave,2,White,FX,Hip-Hop/Rap,S01,C164,2017-12-04,Bomb,,Playlist Pack,110,n/a,Jeff Lowry,Play an extra Strings card,8f96a50ad80250c05de7c8e1da6c1de0,
FX,First Chair,2,White,FX,Hip-Hop/Rap,S01,C165,2017-12-04,Bomb,,Playlist Pack,100,E Minor,Jeff Lowry,+2 points for each Strings card,67fd19bcee08f7e39e7c3d0130c6845e,
New Order,Blue Monday,2,Wild,Vocals|Keys|Drums|Guitar,"Rock, Dance/Electronic",S01,C166,2018,Chiller,,Playlist Pack,131,D Minor,Lauren Saint Onge,,e091ab3194e8a2c55283a6622a445920,
James Landino,Break For Me,2,Lead,Vocals,"Dance/Electronic, Pop",S01,C167,2018,Chiller,,Playlist Pack,121,F Minor,Bryan Olson,,64ed4da3a377c299d3c008ec17041bdc,
Afrojack,Take Over Control,3,Lead,Vocals,Dance/Electronic,S01,C168,2018,Chiller,,Playlist Pack,130,C Minor,Luke Drozd,,9c0ece36805b564369e55f67b299088a,
Altar State,This One Not That One,1,Loop,Keys,Dance/Electronic,S01,C169,2018,Chiller,,Playlist Pack,128,E Major,Scott Campbell,,5693de82003a6f2d2e7c0a8a2aa90872,
Tiny Taps,Dead Metrocard,1,Loop,Keys,Dance/Electronic,S01,C170,2018,Chiller,,Playlist Pack,144,E Minor,Richard Humphreys,,e55cb667364c9cc0f6611ee2388b216e,
CHVRCHES,The Mother We Share,2,Loop,Keys,Dance/Electronic,S01,C171,2018,Chiller,,Playlist Pack,87,Db Major,Alison Polston,,7972e7ec0be9bdf8328ddce392bb4826,
Lossage,Moon Lab,3,Loop,Sampler,Dance/Electronic,S01,C172,2018,Chiller,,Playlist Pack,107,Gb Minor,Ryan Lesser,,2794bb57900aa3b8f595570622021758,
Jason Derulo,Want to Want Me,1,Beat,Drums,"Pop, R&B",S01,C173,2018,Chiller,,Playlist Pack,114,n/a,Alex Dos Diaz,,b103951891e4b4059835e4d57fc2a398,
The Chainsmokers,Closer,1,Beat,Drums,"Dance/Electronic, Pop",S01,C174,2018,Chiller,,Playlist Pack,95,n/a,Kevin Hong,,9eb2ed4ffe4936e6312b24c7eedb1d55,
Lossage,Moon Lab,2,Beat,Drums,Dance/Electronic,S01,C175,2018,Chiller,,Playlist Pack,107,n/a,Ryan Lesser,,7ba30ae6afc7904a7c80fd713be1287d,
Altar State,This One Not That One,3,Beat,Drums,Dance/Electronic,S01,C176,2018,Chiller,,Playlist Pack,128,n/a,Scott Campbell,,5feaf35c2c128e19797a4fb5ecd56c29,
Lossage,Moon Lab,2,Bass,Keys,Dance/Electronic,S01,C177,2018,Chiller,,Playlist Pack,107,Gb Minor,Ryan Lesser,,87384b920ec5d008cb16a1138cfc2b1f,
ODESZA,Say My Name,3,Bass,Keys,Dance/Electronic,S01,C178,2018,Chiller,,Playlist Pack,115,B Minor,Lauren Saint Onge,,84c82258a5b88ff0982560ff401165b6,
FX,Minor Lift,1,White,FX,Dance/Electronic,S01,C179,2018,Chiller,,Playlist Pack,139,A Major,John Knoerl,+1 point for each Level 1 card,f574f739e2a6caa176da5f0a5bcb46f3,
FX,Major Fall,3,White,FX,Dance/Electronic,S01,C180,2018,Chiller,,Playlist Pack,128,G Minor,John Knoerl,-3 points from both teams,93620393f8aee8aa281fab6141dffd08,
Hall & Oates,I Can't Go For That (No Can Do),2,Wild,Vocals|Keys|Drums|Guitar,"Rock, Pop",S01,C181,2017-09-24,Dapper,,Discover Pack,111,C Minor,Shawn Witt,,334b6ef9298811e668e846f13bb4e78d,0dc39de9a9ccc645909e99b260bcade5
Winnage,The Night Porter,1,Lead,Horns,"Dance/Electronic, R&B",S01,C182,2017-09-24,Dapper,,Discover Pack,129,G Minor,Jerod Barker,,aec53e28f58046b82de7bf9ee6b3f3b2,ed2a691eda7a7131c80c43e94b8033ee
LMFAO,Sexy And I Know It,2,Lead,Vocals,"Dance/Electronic, Hip-Hop/Rap",S01,C183,2017-09-24,Dapper,,Discover Pack,130,G Minor,Chris E. O'Neill,,3f35297ee453c20f8393430f36381880,04b835b04454d10d141a2ac6a88f7289
Marky Mark & The Funky Bunch,Good Vibrations,3,Lead,Vocals,"Hip-Hop/Rap, Pop",S01,C184,2017-09-24,Dapper,,Discover Pack,122,Bb Minor,Chris E. O'Neill,,2cd52bab5659999603e4f55495387321,643df171e655961ba6d113eebd90597f
Winnage,The Night Porter,1,Loop,Sampler,"Dance/Electronic, R&B",S01,C185,2017-09-24,Dapper,,Discover Pack,129,G Minor,Jerod Barker,,56ceee904b079ad4783d2396f8ad692f,4368f28c0f439825957a2f7b3bda849d
Gloria Gaynor,I Will Survive,2,Loop,Strings,"R&B, Dance/Electronic",S01,C186,2017-09-24,Dapper,,Discover Pack,116,A Minor,FREAK CITY,,766276eadd1cd7b0db507e15ee8e7f7d,7ceddbacdc0cc10d53bd241499cbdf72
Grant Pike,If You Get Down,3,Loop,Horns,"Pop, R&B",S01,C187,2017-09-24,Dapper,,Discover Pack,96,E Major,Justin Van Genderen,,be2a49a097e1b699128a649e35f31f87,58cd1f273cb75b90fa6ce4f328f6536c
Grant Pike,If You Get Down,1,Beat,Drums,"Pop, R&B",S01,C188,2017-09-24,Dapper,,Discover Pack,96,n/a,Justin Van Genderen,,aceff3e08fa68cd463048f2d2766a16d,d2abf183e02611abf12da829ec69bbba
Sia,Chandelier,2,Beat,Drums,Pop,S01,C189,2017-09-24,Dapper,,Discover Pack,87,n/a,Lisk Feng,,ae2630092786013895b4bbcf980c2246,f98130219ba06f158a581d2ed993f023
Gloria Gaynor,I Will Survive,3,Beat,Drums,"R&B, Dance/Electronic",S01,C190,2017-09-24,Dapper,,Discover Pack,116,n/a,FREAK CITY,,6cdf53a2eaf24c5592797742c448ba3b,9b7f6477f1628d2d8097cf5bb24a91a2
Grant Pike,If You Get Down,1,Bass,Guitar,"Pop, R&B",S01,C191,2017-09-24,Dapper,,Discover Pack,96,E Major,Justin Van Genderen,,eba7979ecb7c2fdb064bb734361a043e,8a2994752ded62037d4be55fc7ffc8fa
Freda Turner,Hard Light,2,Bass,Keys,"Pop, Dance/Electronic",S01,C192,2017-09-24,Dapper,,Discover Pack,128,E Minor,David Medel,,4a0a595cd9915b88fb1d97fb4c58a51e,baa92b093058a6688708f7849bc405f9
Marky Mark & The Funky Bunch,Good Vibrations,3,Bass,Guitar,"Hip-Hop/Rap, Pop",S01,C193,2017-09-24,Dapper,,Discover Pack,122,Bb Minor,Chris E. O'Neill,,fdb2cb5a80b06527352377f36d9c8e55,64e65e0cf937434b41ae7001629940c3
FX,Heart Song,2,White,FX,Pop,S01,C194,2017-09-24,Dapper,,Discover Pack,110,A Minor,James Weinberg,+2 points for each Horns card,c7b06efae2176ed37b3f4c081e15a9cf,ce0ab0cfbb8be414fea04fe398be4f35
FX,Head Rush,2,White,FX,Pop,S01,C195,2017-09-24,Dapper,,Discover Pack,104,n/a,Kimberly Salt,Play an extra Horns card,86237a419c97d5880ca958cdb3d5f4d2,b34aad1383c45b304cb88e9ca2a6cc8a
"Earth, Wind and Fire",September,2,Wild,Vocals|Horns|Drums|Guitar,"R&B, Dance/Electronic",S01,C196,2017-09-24,Seer,,Discover Pack,126,A Major,Eric Oppitz,,a9507a0e6a45c5c29c634600930f3a89,cab3a05c3500fbd9f9a5ff177a15ad96
Righteous Palms Crew,Take U 4 A Ride,1,Lead,Sampler,"Pop, Dance/Electronic",S01,C197,2017-09-24,Seer,,Discover Pack,135,A Minor,Vance Kelly,,e7932b451853cee467910d7ed0cfe882,55842f5d0e4ec578f341986461f3b582
Run DMC,It's Tricky,2,Lead,Vocals,Hip-Hop/Rap,S01,C198,2017-09-24,Seer,,Discover Pack,128,F Minor,Jason Dettmer,,00b1ba3411727c39a674699ebfd618af,f769ad12c952ea694f774045f6e961e3
Sean Paul,Temperature,3,Lead,Vocals,"Reggae/Reggaeton, Hip-Hop/Rap",S01,C199,2017-09-24,Seer,,Discover Pack,125,Bb Minor,Eric Oppitz,,b0b7669ca42b583df9e04f3a12aa507c,58433ed72e9486af883c9880976a5944
5 Bladed,Grimetime,1,Loop,Keys,Dance/Electronic,S01,C200,2017-09-24,Seer,,Discover Pack,143,Eb Minor,Andrew Vastagh,,7d45e6876e3bfd494f59e0327357e118,f2315bb8998f6768707510ffa5184365
Righteous Palms Crew,Take U 4 A Ride,2,Loop,Keys,"Pop, Dance/Electronic",S01,C201,2017-09-24,Seer,,Discover Pack,135,A Minor,Vance Kelly,,7ef5280fa94e37ddcf3f16dfa7a23387,c992d1e33ad27348abe1637b711efa3f
Fall Out Boy,Centuries,3,Loop,Keys,"Rock, Pop",S01,C202,2017-09-24,Seer,,Discover Pack,88,E Minor,YONIL,,0b6996953098d754f9997bcb3e1b9b8a,f8fd3709f691eb29b36faabc01271549
5 Bladed,Grimetime,1,Beat,Drums,Dance/Electronic,S01,C203,2017-09-24,Seer,,Discover Pack,143,n/a,Munk One,,742f360956f573fc9c5b893cc7c3cac6,b4277fb4c31423a3e50bf03d7841bf0d
TLC,No Scrubs,2,Beat,Drums,"R&B, Pop",S01,C204,2017-09-24,Seer,,Discover Pack,93,n/a,Kimberly Salt,,63deddc6293e852ae6e0a01e0279545a,2a9e156ddd2d7c3f8de778ec936f8e1a
The Jackson 5,I Want You Back,3,Beat,Drums,"R&B, Pop",S01,C205,2017-09-24,Seer,,Discover Pack,98,n/a,Conor Nolan,,e5a95083a2099ba0484259a68990cbf1,4015da3e7233155a1a55db1147ce1086
Run DMC,It's Tricky,1,Bass,Guitar,Hip-Hop/Rap,S01,C206,2017-09-24,Seer,,Discover Pack,128,F Minor,Jason Dettmer,,f7c1a02aed40556a8c68cd32d360f969,e513f358eb0b6087a4902d04fca02b62
The Jackson 5,I Want You Back,2,Bass,Guitar,"R&B, Pop",S01,C207,2017-09-24,Seer,,Discover Pack,98,Ab Major,Conor Nolan,,baae7a8e13305e716fcb9d565eb15888,8ba80d1900fe46061b00ac1ec348e246
Righteous Palms Crew,Take U 4 A Ride,3,Bass,Keys,"Pop, Dance/Electronic",S01,C208,2017-09-24,Seer,,Discover Pack,135,A Minor,Vance Kelly,,72986082126cc6a0216be4b0c7dc9dac,104bb7ef96801b359dda313f99b86367
FX,Alacrity,2,White,FX,Hip-Hop/Rap,S01,C209,2017-09-24,Seer,,Discover Pack,109,D Minor,Todd Slater,Play an extra Level 1 card,ba9e06bce99bc98f62c2ea6f44053e63,bfa34fcbc8855cdde2a67fe7091a712f
FX,Acrimony,2,White,FX,Hip-Hop/Rap,S01,C210,2017-09-24,Seer,,Discover Pack,90,Eb Minor,Todd Slater,Clear all opponent Red cards,1c78fc743c5e5870a5f218995443aff8,aca671cba04510d88952798fecb22641
Europe,The Final Countdown,2,Wild,Vocals|Keys|Drums|Guitar,Rock,S01,C211,2017-09-24,Hightower,,Discover Pack,117,Gb Minor,Dan Stiles,,74c813442e588a7a425300cd96e788b9,4bea2a18784e4bf4b887ed392d1f59b9
Weezer,King of the World,1,Lead,Vocals,"Rock, Pop",S01,C212,2017-09-24,Hightower,,Discover Pack,80,Gb Major,Hannah Lawler,,b6a1e16dc70a44f90d0fb455063e6744,c2cbca304e859824b3e89b61e26f7445
Cake,Short Skirt Long Jacket,2,Lead,Vocals,Rock,S01,C213,2017-09-24,Hightower,,Discover Pack,120,D Major,Tanner Griepentrog,,a950de02ee5e71e4584d580c8ce5a40a,6d5264b889fa8b0e75da96ef87ec709c
Imagine Dragons,Radioactive,3,Lead,Vocals,"Rock, Pop",S01,C214,2017-09-24,Hightower,,Discover Pack,137,B Minor,Lauren Saint Onge,,a568d34af27b223e40463ea23a153d47,901cba71322deb08dcb176593c830738
Black Astrolabe,Parabola,1,Loop,Keys,Rock,S01,C215,2017-09-24,Hightower,,Discover Pack,110,G Major,Lauren Saint Onge,,b3c6ea2479c9e6d7c8f315adeacd011d,899e1719e781d64745e3d07ba5f77704
Imagine Dragons,Radioactive,2,Loop,Guitar,"Rock, Pop",S01,C216,2017-09-24,Hightower,,Discover Pack,137,B Minor,Lauren Saint Onge,,6abc2619ad6499b185d46116584aa15d,34115531480a1f3186b63cf8844bc4c3
Pale Shivers,The Exquisite Corpse,3,Loop,Guitar,Rock,S01,C217,2017-09-24,Hightower,,Discover Pack,128,E Minor,Leslie Herman,,038da7c2689a6767ffba96ed1061bd2b,0bb15764df96b72cae986b18c4ebe2ac
Pale Shivers,The Exquisite Corpse,1,Beat,Drums,Rock,S01,C218,2017-09-24,Hightower,,Discover Pack,128,n/a,Leslie Herman,,a1c4f2fd4746505b52a78e39740ab975,f0897d7d183114d77deb5792c0aa5839
Franz Ferdinand,Take Me Out,2,Beat,Drums,Rock,S01,C219,2017-09-24,Hightower,,Discover Pack,104,n/a,Ian Jepson,,df60435a722008ae84991566d2a42134,3c07f0b7377410def5d0ad329872ce30
Black Astrolabe,Parabola,3,Beat,Drums,Rock,S01,C220,2017-09-24,Hightower,,Discover Pack,110,n/a,Lauren Saint Onge,,376f90fca3fe3875a50416138855aef1,643f2a897e62cc4f0756538f635303aa
Franz Ferdinand,Take Me Out,1,Bass,Guitar,Rock,S01,C221,2017-09-24,Hightower,,Discover Pack,104,E Minor,Ian Jepson,,a5410a4a3b8279cad302afc1ef659838,d5c92d6080ec290793f5ac7502f5daa1
Weezer,King of the World,2,Bass,Guitar,"Rock, Pop",S01,C222,2017-09-24,Hightower,,Discover Pack,80,Gb Major,Hannah Lawler,,b13e539b6b4ae28780307c35a1d85e64,e430a5892e50244848eb6f26bad03dda
Cake,Short Skirt Long Jacket,3,Bass,Guitar,Rock,S01,C223,2017-09-24,Hightower,,Discover Pack,120,D Major,Tanner Griepentrog,,82e08352f32696f7ac3b0df1bef8506d,8bfa38ffb702208df8cc3ce6da24fd0a
FX,Bottom Line,2,White,FX,Rock,S01,C224,2017-09-24,Hightower,,Discover Pack,130,B Minor,YONIL,Play an extra Green card,dfeab2a4cd623dc4526fa0ccfcd04f73,1a873946c16c644e4cfa7dc89cb7d920
FX,Face Melter,2,White,FX,Rock,S01,C225,2017-09-24,Hightower,,Discover Pack,120,E Minor,YONIL,+1 point for each Guitar card,651a564e6e31ce3267d67783e27ef28f,da54d0dc0a687479d3d525fd4f8c3f86
Young M.C.,Bust A Move,2,Wild,Vocals|Sampler|Drums|Guitar,Hip-Hop/Rap,S01,C226,2017-09-24,Puff,,Discover Pack,118,E Minor,Todd Slater,,7a1ff5eb2a55e0d35891c19e438723c9,781fbf92d228622de98bbe3a60f5162b
Billzantium,Wishin' I Had It Now,1,Lead,Sampler,Dance/Electronic,S01,C227,2017-09-24,Puff,,Discover Pack,150,G Minor,Elio Moavero,,879503f723be2bd0b5d061bf70d179e4,da7933975a5a0fdc274f859db572338b
CHVRCHES,The Mother We Share,2,Lead,Vocals,Dance/Electronic,S01,C228,2017-09-24,Puff,,Discover Pack,87,Db Major,Alison Polston,,30cb78870c69a1b340dfcbbb59a445f6,6e2b3eae2fe9c25d3a3ab14400a2902a
Duck Sauce,Barbra Streisand,3,Lead,Vocals,Dance/Electronic,S01,C229,2017-09-24,Puff,,Discover Pack,128,Eb Minor,F4D Studios,,f0cfce62c23a6c18e96537eb5a0e0d74,c910aaa506370500cd608bf068f361ae
Billzantium,Wishin' I Had It Now,1,Loop,Keys,Dance/Electronic,S01,C230,2017-09-24,Puff,,Discover Pack,150,G Minor,Elio Moavero,,d63ca0f1c14d5cb43f7bf2091d64ad97,c0dc1e61b913eae8c5748bde8b215b27
Kyangi 3,Doki Doki Summer Days,2,Loop,Keys,"Soundtrack, Dance/Electronic",S01,C231,2017-09-24,Puff,,Discover Pack,140,Eb Minor,ZELOOT,,00dbca2347387776f578c51179ae0f8e,33638c2afb098dea24fa92c62fac5653
Duck Sauce,Barbra Streisand,3,Loop,Keys,Dance/Electronic,S01,C232,2017-09-24,Puff,,Discover Pack,128,Eb Minor,F4D Studios,,ab3cb20c51e390d0c8ca1656155fe8f3,f72095340aff4cdf46960474333656ad
Ed Sheeran,Sing,1,Beat,Drums,"Pop, Rock",S01,C233,2017-09-24,Puff,,Discover Pack,120,n/a,Ashley Mackenzie,,2524c08a6cc9c0c131ef6aff455e35d6,e91980acef548d7285096a6569bca232
Kyangi 3,Doki Doki Summer Days,2,Beat,Drums,"Soundtrack, Dance/Electronic",S01,C234,2017-09-24,Puff,,Discover Pack,140,n/a,ZELOOT,,797a8e71ab2ad178340d4de65753a4cd,21fa0021d2bdb9c9040069cf51ed492b
Miike Snow,Genghis Khan,3,Beat,Drums,Dance/Electronic,S01,C235,2017-09-24,Puff,,Discover Pack,94,n/a,Saeed Abu-Jaber,,1a4e7ea55c0376d74261754c400cdab2,8e689d7f104c25a592b662b899e33c56
CHVRCHES,The Mother We Share,1,Bass,Keys,Dance/Electronic,S01,C236,2017-09-24,Puff,,Discover Pack,87,Db Major,Alison Polston,,b170a6524396bca0bfbe59c2d7d116a6,c09a479b16580224379c0fa52d3dfed0
Kyangi 3,Doki Doki Summer Days,2,Bass,Keys,"Soundtrack, Dance/Electronic",S01,C237,2017-09-24,Puff,,Discover Pack,140,Eb Minor,ZELOOT,,ae2c1d3cc5260ec2de6bf1cce1780c37,e09c502ab9a3844ae2c5f6328efde099
Billzantium,Wishin' I Had It Now,3,Bass,Keys,Dance/Electronic,S01,C238,2017-09-24,Puff,,Discover Pack,150,G Minor,Elio Moavero,,fb80808793d667a5a78cc18be0d5f2f0,e972bf8737cb1eeb6dc020d3c9fca65c
FX,Pulsar,2,White,FX,Dance/Electronic,S01,C239,2017-09-24,Puff,,Discover Pack,128,E Minor,Jeff Lowry,+2 points for each Sampler card,f7c46fd152aac395fe6cb97ff54a640b,c191be1dd1ced5a23cbd1b737e8e2752
FX,Eclipser,3,White,FX,Dance/Electronic,S01,C240,2017-09-24,Puff,,Discover Pack,128,D Minor,Jeff Lowry,Clear opponent Yellow card,cb4455e38206432631ea71395e9089f6,873a03cadd8467fa9a074cb81838d3ba
Commodores,Brick House,2,Wild,Vocals|Horns|Drums|Guitar,R&B,S01,C241,2018-01-16,Fever,,Discover Pack,106,A Minor,Todd Slater,,ab493cd98a5437a3aac8c6170ca50a2b,
Francesca Sonora,You Didn't But You Had To,1,Lead,Keys,Pop,S01,C242,2018-01-16,Fever,,Discover Pack,122,C Minor,Jarom Vogel,,d0deebf7a056b685b05cedfb60bb5a94,
Bell Biv Devoe,Poison,2,Lead,Vocals,R&B,S01,C243,2018-01-16,Fever,,Discover Pack,112,Gb Minor,Burcu Korkmazyürek,,5cbc9d89b469548403f65dc334288931,
Ricky Martin,La Mordidita (Ft. Yotuel),3,Lead,Vocals,"Latin, Pop",S01,C244,2018-01-16,Fever,,Discover Pack,142,E Minor,Gianna Ruggiero,,fe9571e31c3ddd2887694ea155701d7e,
La Guerra Naranja,Una Noche Más,1,Loop,Keys,"Pop, Latin",S01,C245,2018-01-16,Fever,,Discover Pack,96,F Minor,George Bletsis,,c7a4076c1284f410815baf4f07db4fc1,
Carly Rae Jepsen,Call Me Maybe,2,Loop,Guitar,Pop,S01,C246,2018-01-16,Fever,,Discover Pack,120,G Major,Sander Berg,,92cf290cc6ea0a666fb5c8d4e7cbecb6,
Francesca Sonora,You Didn't But You Had To,3,Loop,Keys,Pop,S01,C247,2018-01-16,Fever,,Discover Pack,122,C Minor,Jarom Vogel,,6ee526129d9dc3328c6f2fedaf3f711b,
Walk the Moon,Shut Up And Dance,1,Beat,Drums,"Rock, Pop",S01,C248,2018-01-16,Fever,,Discover Pack,128,n/a,Daniela López,,a8123d7efac94bd9d8f1f7c8c824891c,
Bell Biv Devoe,Poison,2,Beat,Drums,R&B,S01,C249,2018-01-16,Fever,,Discover Pack,112,Gb Minor,Burcu Korkmazyürek,,b7435314bebef3ba79bfb95da436e159,
La Guerra Naranja,Una Noche Más,3,Beat,Drums,"Pop, Latin",S01,C250,2018-01-16,Fever,,Discover Pack,96,n/a,George Bletsis,,b77ed900956790cad83c521354464138,
Ricky Martin,La Mordidita (Ft. Yotuel),1,Bass,Guitar,"Latin, Pop",S01,C251,2018-01-16,Fever,,Discover Pack,142,E Minor,Gianna Ruggiero,,4efab0a7655746da310c8f51e85e52ce,
Walk the Moon,Shut Up And Dance,2,Bass,Guitar,"Rock, Pop",S01,C252,2018-01-16,Fever,,Discover Pack,128,Db Major,Daniela López,,22f7895efcec0d0066404b43febe6cd0,
Francesca Sonora,You Didn't But You Had To,3,Bass,Keys,Pop,S01,C253,2018-01-16,Fever,,Discover Pack,122,C Minor,Jarom Vogel,,3427ed6f818809212c64b71b9b70ce80,
FX,Racing Through,2,White,FX,Pop,S01,C254,2018-01-16,Fever,,Discover Pack,120,Ab Minor,Jennifer Lesser,Play an extra Yellow card,a4633025fef15a5bb16c77d36f390842,
FX,Soaring Above,2,White,FX,Pop,S01,C255,2018-01-16,Fever,,Discover Pack,124,C Minor,Jennifer Lesser,+2 points for a Yellow card,7164a7b4f09cd716473b83a48c5d587e,
Kool & The Gang,Jungle Boogie,2,Wild,Vocals|Horns|Drums|Guitar,"R&B, Dance/Electronic",S01,C256,2018-01-16,Breaker,,Discover Pack,97,G Minor,Gianna Ruggiero,,674e3d364ac7e06acf5a258c5189daaa,
Far East Movement,Like A G6,1,Lead,Vocals,"Dance/Electronic, Hip-Hop/Rap",S01,C257,2018-01-16,Breaker,,Discover Pack,125,G Minor,Lauren Saint Onge,,5a2de1e56c96e22393296f8f5cc276fa,
Bignums,Larry's Place (Part II),2,Lead,Vocals,Hip-Hop/Rap,S01,C258,2018-01-16,Breaker,,Discover Pack,150,E Minor,Jim Mazza,,534f5beff27b9e803503494bef690715,
Flo Rida,"I Don't Like It, I Love It",3,Lead,Vocals,"Hip-Hop/Rap, Pop",S01,C259,2018-01-16,Breaker,,Discover Pack,118,D Minor,Whitney Lam,,4372646f9ecdf3f9edfe826f7dacf448,
Free Sheets,Don't You Dare,1,Loop,Keys,Hip-Hop/Rap,S01,C260,2018-01-16,Breaker,,Discover Pack,150,Eb Minor,Gianna Ruggiero,,420a608cfee310e9109981de6feb48c7,
Macrotape,Barcoded,2,Loop,Keys,"Rock, Dance/Electronic",S01,C261,2018-01-16,Breaker,,Discover Pack,132,E Minor,Hannah Christenson,,f4ab53254b25ec9fbe5b15c9dcece4f4,
Marky Mark & The Funky Bunch,Good Vibrations,3,Loop,Keys,"Hip-Hop/Rap, Pop",S01,C262,2018-01-16,Breaker,,Discover Pack,122,Bb Minor,Chris E. O'Neill,,ff7d380b2a09ae2071c029a8ace61aec,
Free Sheets,Don't You Dare,1,Beat,Drums,Hip-Hop/Rap,S01,C263,2018-01-16,Breaker,,Discover Pack,150,n/a,Gianna Ruggiero,,07ba34d66cc57f9f8cbe17567d4292cb,
Marky Mark & The Funky Bunch,Good Vibrations,2,Beat,Drums,"Hip-Hop/Rap, Pop",S01,C264,2018-01-16,Breaker,,Discover Pack,122,n/a,Chris E. O'Neill,,6bb9cdc677b2a782a6ec2f22d9a88c09,
Macrotape,Barcoded,3,Beat,Drums,"Rock, Dance/Electronic",S01,C265,2018-01-16,Breaker,,Discover Pack,132,n/a,Hannah Christenson,,045d94d869e4e22881eee9fac13fbd95,
TLC,No Scrubs,1,Bass,Keys,"R&B, Pop",S01,C266,2018-01-16,Breaker,,Discover Pack,93,Ab Minor,Kimberly Salt,,92a719578c9cbd9615ac24cf91e9c05b,
Flo Rida,"I Don't Like It, I Love It",2,Bass,Guitar,"Hip-Hop/Rap, Pop",S01,C267,2018-01-16,Breaker,,Discover Pack,118,D Minor,Whitney Lam,,005a9d9aef6c628ce4964e06ef101f55,
Far East Movement,Like A G6,3,Bass,Keys,"Dance/Electronic, Hip-Hop/Rap",S01,C268,2018-01-16,Breaker,,Discover Pack,125,G Minor,Lauren Saint Onge,,7bd012c4169e9073d6a87974b997dc1b,
FX,Guardian Spirit,2,White,FX,Hip-Hop/Rap,S01,C269,2018-01-16,Breaker,,Discover Pack,90,E Major,Anne Szabla,Play an extra Sampler card,de70978c09b5190a79b56a58171770ce,
FX,Pack Mentality,2,White,FX,Hip-Hop/Rap,S01,C270,2018-01-16,Breaker,,Discover Pack,110,n/a,Anne Szabla,+1 point for each Keys card,a46a9dbda4b55de59dccafeaf7de5871,
Vampire Weekend,A-Punk,2,Wild,Vocals|Guitar|Drums|Guitar,Rock,S01,C271,2018-01-16,Socket,,Discover Pack,88,D Major,Jennifer Lesser,,279102558d32a11c7d46fd7eaf4d7a09,
Franz Ferdinand,Take Me Out,1,Lead,Vocals,Rock,S01,C272,2018-01-16,Socket,,Discover Pack,104,E Minor,Ian Jepson,,e900a45d7dc41299655c06fe39559be5,
Skrewbert,The Game Got You,2,Lead,Sampler,Dance/Electronic,S01,C273,2018-01-16,Socket,,Discover Pack,150,Gb Minor,Anne Szabla,,360cfef2e9ee88fe01894d5c2d783745,
Fall Out Boy,Centuries,3,Lead,Vocals,"Rock, Pop",S01,C274,2018-01-16,Socket,,Discover Pack,88,E Minor,YONIL,,101d0ed152567ee1c0f52caf25a555c9,
Pinhole Cage,Just About To Snap,1,Loop,Keys,Rock,S01,C275,2018-01-16,Socket,,Discover Pack,120,D Minor,Anthony Petrie,,34a32075639a532c264949b384a44504,
Panic! At the Disco,Emperor's New Clothes,2,Loop,Horns,"Rock, Pop",S01,C276,2018-01-16,Socket,,Discover Pack,95,Eb Minor,Zach Johnsen,,3e214109e7a513a2a565f5f8e8f6da18,
Franz Ferdinand,Take Me Out,3,Loop,Guitar,Rock,S01,C277,2018-01-16,Socket,,Discover Pack,104,E Minor,Ian Jepson,,7572aa5a60b9546301252b2d7cf8eba4,
Evanescence,Bring Me To Life,1,Beat,Drums,Rock,S01,C278,2018-01-16,Socket,,Discover Pack,95,n/a,Kate O'Hara,,a5892f31c16a9150925fc919162ed46e,
Bignums,Larry's Place (Part II),2,Beat,Drums,Hip-Hop/Rap,S01,C279,2018-01-16,Socket,,Discover Pack,150,n/a,Jim Mazza,,b4ee13ff1f42941e29c5b34769073f67,
Fall Out Boy,Centuries,3,Beat,Drums,"Rock, Pop",S01,C280,2018-01-16,Socket,,Discover Pack,88,n/a,YONIL,,694841d58e5280f0109c44d89ec4fe4f,
Imagine Dragons,Radioactive,1,Bass,Keys,"Rock, Pop",S01,C281,2018-01-16,Socket,,Discover Pack,137,B Minor,Lauren Saint Onge,,983600730af195332686e452c73f1076,
Pinhole Cage,Just About To Snap,2,Bass,Guitar,Rock,S01,C282,2018-01-16,Socket,,Discover Pack,120,D Minor,Anthony Petrie,,5848933d39dc21ae5f46a956066ca1c1,
Panic! At The Disco,Emperor's New Clothes,3,Bass,Guitar,"Rock, Pop",S01,C283,2018-01-16,Socket,,Discover Pack,95,Eb Minor,Zach Johnsen,,f9dad4963c866ed6299176bb9cbdb900,
FX,Wildin',1,White,FX,Rock,S01,C284,2018-01-16,Socket,,Discover Pack,80,E Minor,FREAK CITY,"Clear all Green, Blue, Red, Yellow cards",078adfc82420bf5b8ea3a8928a2809e5,
FX,Stylin',2,White,FX,Rock,S01,C285,2018-01-16,Socket,,Discover Pack,122,E Minor,FREAK CITY,Play an extra Keys card,5323d1b7546438c00fe5edf6f1226a65,
Dolly Parton,Jolene,2,Wild,Vocals|Guitar|Drums|Guitar,Country,S01,C286,2018-01-16,Moonlight,,Discover Pack,112,Db Minor,Kate O'Hara,,350fa5b2afb5b9ca0e96539955965a66,
Connecticut River Boys,Must Be Nice,1,Lead,Guitar,Country,S01,C287,2018-01-16,Moonlight,,Discover Pack,120,G Major,Andrew Vastagh,,6f1d98d9ebc865bd4f2d1cad0791d2fc,
